Section,Key,Acronym,Meaning,Tutorial,Prereq,Also See,Prev,Next,Wiki
Google-Fu,Google-Fu,,,,,,,Math,
Math,Math,,,,,,Google-Fu,Soft-Skills,
Community,Soft-Skills,,,,,,Math,Markdown,
Text,Markdown,,,,,,Community,Xml,
Text,Xml,,,,,,Text,Json,
Text,Json,,,,,,Text,Ascii,
Text,Ascii,,,,,,Text,Html,
Web,Html,,,,,,Text,Css,
Web,Css,CSS,Cascading Style Sheets,,,,Web,Javascript,
Web,Javascript,,,,,,Web,TypeScript,
Web,TypeScript,TS,,,,,Web,DOM,
Web,DOM,DOM,Document Object Model,,,,Web,Http,
Web,Http,HTTP,HyperText Transfer Protocol,https://developer.mozilla.org/en-US/docs/Web/HTTP/Overview,,,Web,Frameworks,
Dev,Frameworks,,,,,,Web,Client-Server-Model,
Dev,Client-Server-Model,,,,,,Dev,Scss,
Web,Scss,SCSS,Sassy CSS,,,,Dev,ORM,
Dev,ORM,ORM,Object-relational mapping (Sometimes stylied as O/RM),,,,Web,Caching,https://en.wikipedia.org/wiki/Object%E2%80%93relational_mapping
Persistence,Caching,,,,,,Dev,NoSql,
Persistence,NoSql,,,,,,Persistence,Document-Store,
Persistence,Document-Store,,,,,,Persistence,Restful-APIs,
Persistence,Restful-APIs,API,Application Programming Interface,,,,Persistence,Binary-Files,
Files,Binary-Files,,,,,,Persistence,Text-Files,
Files,Text-Files,,,,,,Files,Object-Oriented-Programming,
Dev,Object-Oriented-Programming,,,,,,Files,Integrated-Development-Environment,
Dev,Integrated-Development-Environment,,,,,,Dev,Networks,
Ops,Networks,,,,,,Dev,Web-Servers,
Ops,Web-Servers,,,,,,Ops,Notepad-Plus-Plus,
Dev,Notepad-Plus-Plus,,,,,,Ops,Extensions,
Dev,Extensions,,,,,,Dev,Quality-Assurance,
Community,Quality-Assurance,,,,,,Dev,Language-Javascript,
Languages,Language-Javascript,,,,,,Community,Language-C-Sharp,
Languages,Language-C-Sharp,,,,,,Languages,Language-Python,
Languages,Language-Python,,,,,,Languages,Language-Other,
Languages,Language-Other,,,,,,Languages,WebAssembly,
Web,WebAssembly,,,,,,Languages,Continuous-Integration,
DevOps,Continuous-Integration,,,,,,Web,Continuous-Delivery,
DevOps,Continuous-Delivery,,,,,,DevOps,Excel,
Corporate,Excel,,,,,,DevOps,Code-Review,
Dev,Code-Review,,,,,,Corporate,OWASP,
CyberSec,OWASP,,,,,,Dev,DataTypes,
DataTypes,DataTypes,,,,,,CyberSec,Logs,
Logs,Logs,,,,,,DataTypes,Command-Line,
Ops,Command-Line,,,,,,Logs,Software-License,
Legal,Software-License,,,,,,Ops,Progressive-Web-Apps,
Web,Progressive-Web-Apps,,,,,,Legal,Single-Page-Apps,
Web,Single-Page-Apps,,,,,,Web,Responsive,
Web,Responsive,,,,,,Web,Git,
Git,Git,,,,,,Web,DateTime,
Data,DateTime,,,,,,Git,Dependency-Injection,
Dev,Dependency-Injection,,,,,,Data,Character-Encodings,
Files,Character-Encodings,,,,,,Dev,Parallelism,
Dev,Parallelism,,,,,,Files,HttpClient,
Dev,HttpClient,,,,,,Dev,Loops,
Dev,Loops,,,,,,Dev,Unit-Testing,
Dev,Unit-Testing,,,,,,Dev,Frontend-Frameworks,
Dev,Frontend-Frameworks,,,,,,Dev,Design-Patterns,
Dev,Design-Patterns,,,,,,Dev,SOLID,
Dev,SOLID,,,,,,Dev,Docker-Kubernetes,
DevOps,Docker-Kubernetes,,,,,,Dev,Machine-Learning,
Specialization,Machine-Learning,,,,,,DevOps,Mobile,
Specialization,Mobile,,,,,,Specialization,Authentication+Authorization,
Dev,Authentication+Authorization,,,,,,Specialization,Input-Output,
Dev,Input-Output,,,,,,Dev,Database,
Persistence,Database,,,,,,Dev,Libraries,
Dev,Libraries,,,,,,Persistence,,
Dev,Cors,CORS,Cross-Origin Resource Sharing,,,,,,
Dev,Dns,DNS,Domain Name System,,,,,,
Dev,Ftp,FTP,File Transfer Protocol,,,,,,
